万年青		强心利尿、清热解毒、止血的功效
安息香		开窍清神、行气活血、止痛的功效，临床用于治疗中风痰厥、气郁暴厥、中恶昏迷、心腹疼痛、产后血晕、小儿惊风
樟脑		通窍、杀虫、止痛、辟秽的功效，临床用于治疗心腹胀痛、脚气、疮疡疥癣等
猪牙皂		祛痰开窍、散结消肿的功效，临床用于治疗中风口噤、昏迷不醒、癫痫痰盛、关窍不通、喉痹痰阻、顽痰喘咳、咯痰不爽、大便燥结，外治痈肿
石菖蒲		化湿开胃、开窍豁痰、醒神益智的功效，用于脘痞不饥、噤口下痢、神昏癫痫、健忘耳聋
竹沥		清热滑痰、镇惊利窍的功效，临床用于治疗中风痰迷、肺热痰壅、惊风、癫痫等
苏合香		开窍、辟秽、止痛功效，临床用于治疗中风痰厥、猝然昏倒、胸腹冷痛、惊痫
蟾酥		解毒、止痛、开窍醒神的功效，用于痈疽疔疮、咽喉肿痛、中暑神昏、腹痛吐泻
鹅不食草		通鼻窍、止咳的功效，临床用于治疗风寒头痛、咳嗽痰多、鼻塞不通、鼻渊流涕
麝香		开窍醒神、活血通经、消肿止痛的功效，临床用于治疗热病神昏、中风痰厥、气郁暴厥、中恶昏迷、经闭、癥瘕、难产死胎、心腹暴痛、痈肿瘰疬、咽喉肿痛、跌扑伤痛、痹痛麻木等
五倍子		敛肺降火、涩肠止泻、敛汗止血、收湿敛疮的功效，临床用于治疗肺虚久咳、肺热痰嗽、久泻久痢、盗汗、消渴、便血痔血、外伤出血、痈肿疮毒、皮肤湿烂
固表止汗药		固表敛汗的作用，用于肺脾气虚、卫阳不固、腠理不密、津液外泄的自汗证及肺肾阴虚、阴虚则生内热、热迫津外泄的盗汗证的药物
桑螵蛸		益肾固精、缩尿、止浊的功效，临床用于治疗遗精滑精、遗尿尿频、小便白浊
椿皮		清热燥湿、收涩止带、止泻、止血的功效；用于赤白带下、湿热泻痢、久泻久痢、便血、崩漏
浮小麦		止汗、退热除烦的功效
炉甘石		解毒明目退翳、收湿止痒敛疮的功效，临床用于治疗目赤肿痛、眼缘赤烂、翳膜胬肉、溃疡不敛、脓水淋漓、湿疮、皮肤瘙痒
煅石膏		收湿、生肌、敛疮、止血的功效，临床用于治疗溃疡不敛、湿疹瘙痒、水火烫伤、外伤出血
瓦松		止血、解毒、敛疮的功效，用于血痢、便血、疮口久不愈合
白果		敛肺定喘、止带浊、缩小便的功效，临床用于治疗痰多喘咳、带下白浊、遗尿、尿频
益智		温脾止泻、摄唾涎、暖肾、固精缩尿的功效，用于脾寒泄泻、腹中冷痛、口多唾涎、肾虚遗尿、小便频数、遗精白浊
石榴		涩肠止泻的功效
石榴皮		涩肠止泻、止血、驱虫的功效，临床用于治疗久泻、久痢、便血、脱肛、崩漏、白带、虫积腹痛
禹余粮		涩肠止泻、收敛止血的功效，临床用于治疗久泻、久痢、崩漏、白带
糯稻须根		收涩功效
罂粟壳		敛肺、涩肠、定痛的功效，临床用于治疗久咳、久泻、脱肛、脘腹疼痛
肉豆蔻		温中行气、涩肠止泻的功效，临床用于治疗脾胃虚寒、久泻不止、脘腹胀痛、食少呕吐
莲子		补脾止泻、益肾涩精、养心安神的功效，临床用于治疗脾虚久泻、遗精带下、心悸失眠
蜂蜡		收涩、敛疮、生肌、止痛的功效，临床用于治疗溃汤不敛、臁疮糜烂、创伤、烧烫伤
覆盆子		益肾、固精、缩尿的功效，临床用于治疗肾虚遗尿、小便频数、阳痿早泄、遗精滑精
诃子		涩肠敛肺、降火利咽的功效，临床用于治疗久泻久痢、便血脱肛、肺虚喘咳、久嗽不止、咽痛音哑
赤石脂		涩肠、止血、生肌敛疮的功效，临床用于治疗久泻久痢、大便出血、崩漏带下，外治疮疡不敛、湿疹脓水浸淫
酸枣仁		补肝、宁心、敛汗、生津的功效，临床用于治疗虚烦不眠、惊悸多梦、体虚多汗、津伤口渴
金樱子		固精涩尿、涩肠止泻的功效，临床用于治疗遗精滑精、遗尿尿频、崩漏带下、久泻久痢
麻黄根		止汗的功效，临床用于治疗自汗、盗汗
望月砂		明目、杀虫的功效，临床用于治疗目暗生翳、疳疾、痔瘘
狼毒大戟		逐水祛痰、破积杀虫的功效，临床用于治疗水肿腹胀、虫积等
砒石		截疟、杀虫的功效，内服具有解毒功效
轻粉		为氯化亚汞，外用杀虫、攻毒、敛疮，内服祛痰消积、逐水通便，外治用于疥疮、顽癣、臁疮、梅毒、疮疡、湿疹，内服用于痰涎积滞、水肿臌胀、二便不利。
除虫菊		燥湿灭虫、除蚊灭虫的功效，临床用于治疗疥癣，灭蚊、蝇、跳蚤、虱、臭虫
雄黄		解毒杀虫、燥湿祛痰、截疟的功效，临床用于治疗痈肿疔疮、蛇虫咬伤、虫积腹痛、惊痫、疟疾
柿蒂		降逆下气的功效，临床用于治疗呃逆
紫苏叶		解表散寒、行气和胃的功效，临床用于治疗风寒感冒、咳嗽呕恶、妊娠呕吐、鱼蟹中毒
五灵脂		行血止痛、活血止血、解毒、健脾消积的功效，临床用于治疗心腹血气诸痛、崩漏等
地莓子		消炎止痛的功效，临床用于治疗结膜炎、脸缘炎等
天仙子		解痉止痛、安神定喘的功效，临床用于治疗胃痉挛疼痛、喘咳、癫狂
川乌		祛风除湿、温经止痛、麻醉止痛的功效，临床用于治疗风寒湿痹、关节疼痛、心腹冷痛、寒疝作痛、麻醉止痛
松节		祛风、燥湿、舒筋、通络的功效，临床用于治疗历节风痛等
洋金花		平喘止咳、镇痛、解痉的功效，临床用于治疗哮喘咳嗽、脘腹冷痛、风湿痹痛、小儿慢惊、外科麻醉
白曼陀罗		麻醉止痛的功效
白芍		平肝止痛、养血调经、敛阴止汗的功效，临床用于治疗头痛目眩、胁痛、腹痛、四肢挛痛、血虚萎黄、月经不调、自汗、盗汗
紫苏梗		理气宽中、止痛、安胎的功效，临床用于治疗胸膈痞闷、胃脘疼痛、嗳气呕吐、胎动不安
自然铜		散瘀、接骨、止痛的功效，临床用于治疗跌扑肿痛、筋骨折伤
苦碟子		清热解毒、排脓、止痛的功效，临床用于治疗阑尾炎、肠炎、痢疾等
草乌叶		清热、解毒、止痛的功效，临床用于热病发热、泄泻腹痛、头痛、牙痛
蜂房		祛风、攻毒、杀虫、止痛的功效，临床用于治疗龋齿牙痛、疮疡肿毒、乳痈、瘰疬、皮肤顽癣、鹅掌风
豹骨		追风定痛、强筋健骨的功效，临床用于治疗筋骨疼痛、风寒湿痹、四肢拘挛、麻木、腰膝酸楚
赤芍		清热凉血、散瘀止痛的功效，临床用于温毒发斑、吐血衄血、目赤肿痛、肝郁胁痛、经闭痛经、癥瘕腹痛、跌扑损伤、痈肿疮疡
青木香		平肝气痛、解毒消肿的功效，临床用于治疗眩晕头痛等
颠茄草		药材为双子叶植物茄科植物颠茄的干燥全草，抗胆碱药。
亚麻子		润燥、祛风的功效，临床用于治疗肠燥便秘、皮肤干燥瘙痒、毛发枯萎脱落
京大戟		泻水逐饮的功效，临床用于治疗水肿胀满、胸腹积水、痰饮积聚、气逆喘咳、二便不利
决明子		清肝明目、润肠通便的功效，临床用于治疗风热赤眼等
千金子		逐水消肿、破血消症的功效，临床用于治疗水肿、痰饮、积滞胀满、二便不通、血瘀经闭，外治顽癣、疣等
千金子霜		逐水消肿、破血消症的功效，临床用于治疗水肿、痰饮、积滞胀满、二便不通、血瘀经闭，外治顽癣、疣等
巴豆		药材为双子叶植物药大戟科巴豆属植物巴豆的干燥成熟果实，外用蚀疮，用于恶疮疥癣、疣痣。外用适量，研末涂患处，或捣烂以纱布包擦患处。
巴豆霜		峻下积滞、逐水消肿、豁痰利咽的功效，临床用于治疗寒积便秘、乳食停滞、下腹水肿、二便不通、喉风、喉痹
桃仁		活血祛瘀、润肠通便的功效，临床用于治疗经闭、痛经、癥瘕痞块、跌扑损伤
榧		润下的功效
火麻仁		润肠通便的功效，临床用于治疗血虚津亏、肠燥便秘
牵牛子		泻水通便、消痰涤饮、杀虫攻积的功效，临床用于治疗水肿胀满、二便不通、痰饮积聚、气逆喘咳、虫积腹痛、蛔虫、绦虫病
瓜蒌子		润肺化痰、滑肠通便的功效，临床用于治疗燥咳痰黏、肠燥便秘
甘遂		泻水逐饮的功效，临床用于治疗水肿胀满、胸腹积水、痰饮积聚、气逆喘咳、二便不利
甜瓜子		散结、消瘀、清肺、润肠的功效，临床用于治疗腹内结聚、肠痈等
番泻叶		泻热行滞，通便，利水的功效，临床用于治疗热结积滞，便秘腹痛，水肿胀满
紫苏子		降气消痰、平喘、润肠的功效，临床用于治疗痰壅气逆、咳嗽气喘、肠燥便秘
红大戟		泻水逐饮、攻毒消肿散结的功效，临床用于治疗胸腹积水、二便不利、痈肿疮毒、瘰疬痰核
蓖麻		为大戟科蓖麻属植物，其干燥成熟种子为中药蓖麻子。
蓖麻子		消肿拔毒、泻下通滞的功效，临床用于治疗痈疽肿毒、喉痹、瘰疬、大便燥结
蜂蜜		补中、润燥、止痛、解毒的功效，临床用于治疗脘腹虚痛、肺燥干咳、肠燥便秘，外治疮疡不敛、水火烫伤
郁李仁		润燥滑肠、下气、利水的功效，临床用于治疗津枯肠燥、食积气滞、腹胀便秘、水肿、脚气、小便不利
饴糖		补气、补虚生津、润燥的功效，临床用于治疗里急腹痛、肺燥咳嗽等
刺梨		健胃、消食的功效，临床用于治疗食积饱胀、消瘦
枳壳		理气宽中、行滞消胀的功效，临床用于治疗胸胁气滞、胀满疼痛、食积不化、痰饮内停、胃下垂、脱肛、子宫脱垂
焦槟榔		消食导滞的功效，临床用于治疗食积不消、泻痢后重
神曲		健脾和胃、消食调中的功效，临床用于治疗饮食停滞、胸痞腹胀等
稻芽		和中消食、健脾开胃的功效，用于食积不消、腹胀口臭、脾胃虚弱、不饥食少
芜荑		杀虫、消积、散寒止泻的功效，临床用于治疗虫积腹痛、小儿疳泻
莱菔子		消食除胀、降气化痰的功效，临床用于治疗饮食停滞、脘腹胀痛、大便秘结、积滞泻痢、痰壅喘咳
谷芽		消食和中、健脾开胃的功效，临床用于治疗食积不消、腹胀口臭、脾胃虚弱、不饥食少
鸡内金		健脾消食、涩精止遗的功效，临床用于治疗食积不消、呕吐泻痢、小儿疳积、遗尿、遗精
麦芽		行气消食、健脾开胃、退乳消胀的功效，临床用于治疗食积不消、脘腹胀满、脾虚食少、乳汁郁积，乳房胀痛、妇女断乳
人参芦		涌吐、升阳的功效，临床用于治疗虚人痰壅阻膈、气陷泄泻等
催吐冬青		为冬青属植物，用于催吐。
常山		截疟、劫痰的功效，临床用于治疗疟疾
瓜蒂		涌吐、去湿热、行水消肿的功效，临床用于治疗痰涎宿食等
胆矾		催吐、祛腐解毒的功效
一枝黄花		疏风清热、消肿解毒的功效，临床用于治疗感冒头痛、咽喉肿痛、黄疸
一点红		清热解毒的功效
三叉苦		清热解毒的功效
三尖杉		清热解毒、抗肿瘤的功效，临床用于治疗恶性淋巴瘤、白血病、肺癌等
三棵针		清热解毒的功效
了哥王		清热解毒、消肿散结、止痛的功效，临床用于治疗瘰疬、痈肿、风湿痛等
云实		清热除湿、杀虫、行气止痛、截疟、止消渴的功效，临床用于治疗痢疾等
云芝		免疫调节作用，用于治疗慢性肝炎、活动性肝炎
人中白		清热、降火、消瘀的功效，临床用于治疗劳热、肺痿等
余甘子		清热凉血、消食健胃、生津止咳功效，临床用于治疗血热血瘀、消化不良、腹胀、咳嗽、喉痛、口干，多入丸散服
佛手瓜		祛风清热、健脾开胃的功效，临床用于治疗风热犯肺等
佛甲草		清热、消肿、解毒的功效，临床用于治疗咽喉肿痛、痈肿、疔疮等
侧柏叶		凉血止血、生发乌发的功效，临床用于治疗吐血衄血、咯血、便血、崩漏下血、血热脱发、须发早白
僵蚕		祛风定痉、化痰散结的功效，用于惊风抽搐、咽喉肿痛、皮肤瘙痒、颌下淋巴结炎、面神经麻痹
八角莲		清热解毒、化痰散结、祛瘀消肿的功效，临床用于治疗痈肿、瘰疬、喉蛾等
六月雪		祛风利湿、清热解毒的功效，临床用于治疗风湿腰腿痛、痢疾、水肿等
关木通		清心火、利小便、通经下乳的功效，临床用于治疗口舌生疮、湿热痹证等，但含有马兜铃酸可引发肾病
关黄柏		清热燥湿、泻火除蒸、解毒疗疮的功效，临床用于治疗湿热泻痢、黄疸、带下、热淋、脚气、痿躄、骨蒸劳热、盗汗、遗精、疮疡肿毒、湿疹瘙痒
冬凌草		清热解毒的功效
冰片		开窍醒神、清热止痛的功效，临床用于用于热病神昏、惊厥、中风痰厥、气郁暴厥、中恶昏迷、目赤、口疮、咽喉肿痛、耳道流脓
决明子		清肝明目、润肠通便的功效，临床用于治疗风热赤眼等
凤尾草		清热利湿、凉血止血、消肿解毒的功效，临床用于治疗黄疸型肝炎、肠炎等
凤梨		清热解毒的功效
功劳木		清热燥湿、泻火解毒的功效，用于湿热泻痢、黄疸、目赤肿痛、胃火牙痛、疮疖、痈肿、痢疾、黄疸型肝炎
北豆根		清热解毒、祛风止痛的功效，临床用于治疗咽喉肿痛、肠炎痢疾、风湿痹痛
十大功劳		清热泻火、凉血解毒的功效，临床用于治疗流感、热痢、腹泻等
千里光		清热解毒、清肝明目、祛风燥湿、杀虫的功效，临床用于治疗各种急性炎性疾病、风火赤眼
南板蓝根		清热解毒、凉血的功效，临床用于治疗温病发斑、丹毒、流感、流脑
古山龙		清热解毒、降压止痛的功效，临床用于治疗疖肿等
喜树		清热、抗肿瘤的功效，临床用于治疗各种癌症、急慢性白血病、银屑病、肝脾肿大
土荆皮		杀虫止痒的功效，临床用于治疗疥癣
土贝母		散结、消肿、解毒的功效，临床用于治疗乳痈、瘰疬、乳腺炎、颈淋巴结结核、慢性淋巴结炎、肥厚性鼻炎
地不容		清热解毒、消痰、截疟、止痛的功效，临床用于治疗痈疽肿毒等
地杨梅		清热解毒的功效，临床用于治疗赤白痢
地耳草		清热利湿、解毒消肿、散瘀止痛的功效，临床用于治疗传染性肝炎、泻痢、小儿惊风等
地肤子		清热利湿、祛风止痒的功效，临床用于治疗小便涩痛、阴痒带下、湿疹、皮肤瘙痒
地骨皮		凉血除蒸、清肺降火的功效，临床用于治疗阴虚潮热、骨蒸盗汗、肺热咳喘、咯血、衄血、内热消渴
地龙		清热定惊、平喘、利尿的功效，临床用于高热神昏、惊痫抽搐、关节痹痛、肢体麻木、半身不遂、肺热喘咳、尿少水肿、高血压
块茎糙苏		调经、解毒疗疮的功效，临床用于治疗月经失调等
垂盆草		清利湿热、解毒的功效，临床用于治疗湿热黄疸、小便不利、痈肿疮疡、急慢性肝炎
夏枯草		清火、明目、散结、消肿的功效，临床用于治疗目赤肿痛、目珠夜痛、头痛眩晕、瘰疬、瘿瘤、乳痈肿痛、甲状腺肿大、淋巴结结核、乳腺增生、高血压
大叶桉		清热解毒、收敛生肌的功效，临床用于治疗感冒、急性肠炎、痢疾等
大青叶		清热解毒、凉血消斑的功效，临床用于治疗温邪入营、高热神昏、发斑发疹、黄疸、热痢、痄腮、喉痹、丹毒、痈肿
大风子		祛风燥湿、攻毒杀虫的功效，临床用于治疗麻风等
天竺葵		清热消炎的功效，临床用于治疗中耳炎
天花粉		清热生津、排脓消肿的功效，临床用于治疗热病烦渴、肺热燥咳、内热消渴、疮疡肿毒
天葵子		清热解毒、消肿散结的功效，临床用于治疗痈肿疔疮、乳痈、瘰疬、毒蛇咬伤
委陵菜		清热解毒、凉血止痢的功效，临床用于治疗赤痢腹痛、久痢不止、痔疮出血、痈肿疮毒
寒水石		清热降火、利窍消肿的功效
山豆根		清热解毒、消肿利咽的功效，临床用于治疗火毒蕴结、咽喉肿痛、齿龈肿痛
山银花		清热解毒、凉散风热的功效，临床用于治疗痈肿疔疮、喉痹、丹毒、热毒血痢、风热感冒、温热发病
岗梅		清热、生津、活血、解毒的功效，临床用于治疗感冒等
当药		清热、健胃、利湿的功效，临床用于治疗消化不良、胃炎、黄疸、火眼、牙痛、口疮等
忍冬藤		清热解毒、疏风通络的功效，临床用于治疗温病发热、热毒血痢、痈肿疮疡、风湿热痹、关节红肿热痛
拳参		清热解毒、消肿、止血的功效，临床用于治疗赤痢、热泻、肺热咳嗽、痈肿、瘰疬、口舌生疮、吐血、衄血、痔疮出血、毒蛇咬伤
无花果		清热解毒、健胃清肠的功效，临床用于治疗肠炎、痢疾、便秘等
木槿皮		清热利湿、杀虫止痒、清热解毒的功效，临床用于治疗肠风下血等
木芙蓉叶		凉血、解毒、消肿、止痛的功效，临床用于治疗痈疽等
木蝴蝶		清肺利咽、疏肝和胃的功效，临床用于肺热咳嗽、喉痹、音哑、肝胃气痛
朱砂		清心镇惊、安神解毒功效，用于心悸易惊、失眠多梦、癫痫发狂、小儿惊风、视物昏花、口疮、喉痹、疮疡肿毒
朱砂莲		清火消肿、散血止痛、解蛇毒的功效，临床用于治疗红白痢疾、胸痛等
松花粉		燥湿、收敛止血的功效，临床用于治疗湿疹、黄水疮、皮肤糜烂、脓水淋沥、外伤出血、尿布性皮炎
松香		祛风、燥湿、清热解毒、生肌、止痛、驱虫的功效，临床用于治疗痈疽、疔毒等
板蓝根		清热解毒、凉血利咽的功效，临床用于治疗温毒发斑、舌绛紫暗、痄腮、喉痹、烂喉丹痧、大头瘟疫、丹毒、痈肿
枇杷叶		清肺止咳、降逆止呕的功效，临床用于治疗肺热咳嗽、气逆喘急、胃热呕逆、烦热口渴
枫香树		清热解毒、祛风除湿、涩肠止泻、利尿消肿的功效，临床用于治疗痈疽等
枸骨叶		清热养阴、平肝、益肾的功效，临床用于治疗肺劳咳血、骨蒸潮热、头晕目眩、高血压
椿皮		清热燥湿、收涩止带、止泻、止血的功效；用于赤白带下、湿热泻痢、久泻久痢、便血、崩漏
槐花		凉血止血、清肝泻火的功效，临床用于治疗便血、痔血、血痢、崩漏、吐血、衄血、肝热目赤、头痛眩晕
槐角		清热泻火、凉血止血的功效，临床用于治疗肠热便血、痔肿出血、肝热头痛、眩晕目赤
橄榄		清肺、利咽、生津、解毒的功效，临床用于治疗咽喉肿痛、咳嗽、烦渴、鱼蟹中毒
毒参属		为毒芹植物属。
毒芹属		为伞形科植物属，是毒芹素的来源。
毗黎勒		清热解毒的功效
毛诃子		清热解毒、收敛养血、调和诸药的功效，临床用于治疗各种热证、泻痢、黄水病、肝胆病、病后虚弱
水牛角		清热解毒、凉血、定惊的功效，临床用于治疗温病高热、神昏谵语、发斑发疹、吐血衄血、惊风、癫狂
洋葱		清热解毒的功效
滑石		利尿通淋、清热解毒、祛湿敛疮的功效，临床用于治疗热淋、石淋、尿热涩痛、暑热烦渴、湿热水泻，外治湿疹、湿疮、痱子
漆姑草		清热解毒、排脓消肿的功效，临床用于治疗漆疮、秃疮、痈肿等
漏芦		清热解毒、消痈、下乳、舒筋通脉的功效，临床用于治疗乳痈肿痛、痈疽发背、瘰疬疮毒、乳汁不通、湿痹拘挛
火炭母		清热利湿、凉血解毒的功效，临床用于治疗泄泻、痢疾、黄疸、风热咽痛等
炉甘石		解毒明目退翳、收湿止痒敛疮的功效，临床用于治疗目赤肿痛、眼缘赤烂、翳膜胬肉、溃疡不敛、脓水淋漓、湿疮、皮肤瘙痒
熊胆		清热、镇痉、明目、杀虫的功效，临床用于治疗热黄、暑泻、小儿惊痫等
爵床		清热解毒、利湿消滞、活血止痛的功效，临床用于治疗感冒发热等
牛筋草		清热利湿的功效
牛胆		清肝明目、解毒消肿、利胆通肠、清热生津的功效，临床用于治疗风热目疾、小儿惊风、痈肿等
牡丹		清热凉血功效
牡丹皮		清热凉血、活血化瘀的功效，临床用于治疗温热发斑、吐血衄血、夜热早凉、无汗骨蒸、经闭痛经、痈肿疮毒、跌扑伤痛
犀角		清热、凉血、定惊、解毒的功效，临床用于治疗伤寒温疫热入血分、惊狂等
猪殃殃		清热解毒、散瘀消肿的功效，临床用于治疗淋浊、尿血、跌打损伤等
玄参		凉血滋阴、泻火解毒的功效，临床用于治疗热病伤阴、舌绛烦渴、温毒发斑、津伤便秘、骨蒸劳嗽、目赤、咽痛、瘰疬、白喉、痈肿疮毒
玄明粉		泻热通便、润燥软坚、清火消肿的功效，临床用于实热便秘、大便燥结、积滞腹痛，外治咽喉肿痛、口舌生疮、牙龈肿痛、目赤、痈肿、丹毒
玉兰		清热的功效
玉米须		利尿、泄热、平肝、利胆的功效，临床用于治疗肾炎水肿、脚气、黄疸肝炎等
玳瑁		清热、解毒、镇惊的功效
珍珠		安神定惊、明目消翳、解毒生肌的功效，临床用于治疗惊悸失眠、惊风癫痫、目生云翳、疮疡不敛
珙桐		清热解毒的功效
甜菜		清热解毒的功效
生地黄		清热凉血、养阴、生津的功效，临床用于治疗热病舌绛烦渴、阴虚内热、骨蒸劳热、内热消渴、吐血、衄血、发斑发疹
甲鱼		补阴、清热凉血作用
白花蛇舌草		清热解毒、利湿散瘀的功效，临床用于治疗肺热喘咳等
白英		清热燥湿、祛风止痛、活血祛瘀的功效，临床用于治疗风火牙痛、头痛等
白蔹		清热解毒、消痈散结的功效，临床用于治疗痈疽发背、疔疮、瘰疬、水火烫伤
白鲜皮		清热燥湿、祛风解毒的功效，临床用于治疗湿热疮毒、黄水淋漓、风疹、疥癣疮癞、风湿热痹、黄疸尿赤
百两金		清热利湿、祛痰止咳、利尿消肿的功效，临床用于治疗咽喉肿痛、肺病咳嗽、肾炎水肿
皂角刺		消肿托毒、排脓、杀虫的功效，临床用于治疗痈疽初起或脓成不溃，外治疥癣麻风
盐肤木		祛风湿、散瘀血、清热解毒的功效，临床用于治疗咳嗽、风湿骨痛、水肿等
知母		清热泻火、生津润燥的功效，临床用于治疗外感热病、高热烦渴、肺热燥咳、骨蒸潮热、内热消渴、肠燥便秘
矮脚苦蒿		消炎、清热、解毒的功效，临床用于治疗中耳炎、风火眼等
石膏		清热泻火、除烦止渴的功效，用于外感热病、高热烦渴、肺热喘咳、胃火亢盛、头痛、牙痛
砒石		截疟、杀虫的功效，内服具有解毒功效
硼砂		清热消痰、解毒防腐的功效
禹州漏芦		清热解毒、排脓止血、消痈下乳的功效，临床用于治疗诸疮痈肿、乳痈肿痛、乳汁不下、瘰疬疮毒
秦皮		清热燥湿、收涩、明目的功效，临床用于治疗热痢、泄泻、赤白带下、目赤肿痛、目生翳障
积雪草		清热利湿、解毒消肿的功效，临床用于治疗湿热黄疸、中暑腹泻、砂淋血淋、痈肿疮毒、跌扑损伤
穿心莲		清热解毒、凉血、消肿的功效，临床用于治疗感冒发热、咽喉肿痛、口舌生疮、顿咳劳嗽、泄泻痢疾、热淋涩痛、痈肿疮疡、毒蛇咬伤
竹林标		清热解毒、散瘀消肿的功效，临床用于治疗肺炎、肺结核等
糙苏		清热消肿的功效，临床用于治疗虫咬伤等
索骨丹		清热凉血、清热燥湿功效，临床用于治疗湿热下痢、久泻等
紫花地丁		清热解毒、凉血消肿的功效，临床用于治疗疔疮肿毒、痈疽发背、丹毒、毒蛇咬伤
紫草		凉血、活血、解毒透疹的功效，临床用于治疗血热毒盛、斑疹紫黑、麻疹不透、疮疡、湿疹、水火烫伤
紫草茸		清热解毒、凉血活血、祛湿杀虫、凉血解毒的功效，临床用于治疗麻疹、斑疹不易透发等
红根草		清热解毒、涩肠止痢的功效，临床用于治疗菌痢
红管药		清热解毒的功效
红蓼		清热解毒的功效
红豆蔻		燥湿散寒、醒脾消食的功效，临床用于治疗脘腹冷痛、食积胀满、呕吐泄泻、饮酒过多
绵马贯众		清热解毒、驱虫的功效；临床用于治疗虫积腹痛、疮疡
绿豆		清热解毒、消暑利水的功效，临床用于治疗暑热烦渴等
罗布麻叶		平肝安神、清热利水的功效，临床用于治疗肝阳眩晕、心悸失眠、浮肿尿少、高血压、神经衰弱、肾炎水肿
罗汉松		散瘀消肿、清热解毒的功效，临床用于治疗跌打损伤、疼痛
罗汉果		清热润肺、滑肠通便的功效，临床用于治疗肺火燥咳、咽痛失音、肠燥便秘
羚羊角		平肝熄风、清肝明目、散血解毒的功效，临床用于治疗高热惊痫、神昏痉厥、子痫抽搐、癫痫发狂、头痛眩晕、目赤翳障、温毒发斑、痈肿疮毒
翻白草		清热解毒、止血消肿的功效，临床用于治疗痢疾、疟疾等
老鹳草		祛风湿、通经络、止泻痢的功效，临床用于治疗风湿痹痛、麻木拘挛、筋骨酸痛、泄泻痢疾
耳草		清热解毒功效
肿节风		清热凉血、活血消斑、祛风通络的功效，用于血热紫斑、紫癜、风湿痹痛、跌打损伤
胆木		清热解毒、消肿止痛的功效，临床用于治疗感冒发热、急性扁桃体炎、咽喉炎、乳腺炎等
胡桃青皮		清热解毒、祛风疗癣、止痛、止痢的功效，临床用于治疗胃痛等病症
胡黄连		清湿热、除骨蒸、消疳热的功效，临床用于治疗湿热泻痢、黄疸、痔疾、骨蒸潮热、小儿疳热
臭灵丹		清热解毒、杀虫疗伤截疟的功效，临床用于治疗上呼吸道感染等
芍药		清热凉血功效
芒硝		泻热通便、润燥软坚、清火消肿的功效，临床用于治疗实热便秘、大便燥结、积滞腹痛、肠痈肿痛，外治乳痈、痔疮肿痛
芦荟		清肝热、通便的功效，临床用于治疗便秘、小儿疳积、惊风，外治湿癣
苎麻		清热、止血的功效
苎麻根		清热、止血、解毒、散瘀的功效，临床用于治疗热病大渴、血淋、癃闭等
苘麻子		清热利湿、解毒、退翳的功效，临床用于治疗赤白痢疾、淋病涩痛、痈肿、目翳
苦参		清热燥湿、杀虫、利尿的功效，临床用于治疗热痢、便血、黄疸尿闭、赤白带下、阴肿阴痒、湿疹、湿疮、皮肤瘙痒、疥癣麻风，外治滴虫性阴道炎
苦地丁		清热毒、消痈肿的功效，临床用于咽喉肿痛、疔疮痛肿、痈疽发背、痄腮丹毒
苦木		清热、祛湿、解毒的功效，临床用于治疗风热感冒、咽喉肿痛、腹泻下痢、湿疹、疮疖、毒蛇咬伤
苦楝皮		驱虫、疗癣的功效，临床用于治疗蛔蛲虫病、虫积腹痛，外治疥癣瘙痒
苦瓜		清暑涤热、明目解毒、清热止痢、降气止痛的功效，临床用于治疗热病烦渴等
苦豆子		清热燥湿、止痛、杀虫的功效，临床用于治疗湿疹等
茶叶		清利头目、除烦止渴、利尿、清热解毒、下气消食、化痰的功效，临床用于治疗心烦口渴等
草乌叶		清热、解毒、止痛的功效，临床用于热病发热、泄泻腹痛、头痛、牙痛
草本水杨梅		清热解毒、消肿止痛的功效，临床用于治疗肠炎、痢疾、小儿惊风、腰腿痛、跌打损伤、月经不调、白带，外用治疗疔疮、痈肿
草红藤		清热解毒的功效
草莓		止咳、清热解毒功效
荷叶		清暑解暑、升发清阳、凉血止血的功效，临床用于治疗暑热烦渴、暑湿泄泻、脾虚泄泻、血热吐衄、便血崩漏
莲子心		清心安神、交通心肾、涩精止血的功效，临床用于治疗热入心包、神昏谵语、心肾不交、失眠遗精、血热吐血
葫芦茶		清热解毒、利湿消滞、杀虫的功效，临床用于治疗感冒等
蒲公英		清热解毒、消肿散结、利尿通淋的功效，临床用于治疗疔疮肿毒、乳痈、瘰疬、目赤、咽痛、肺痈、肠痈、湿热黄疸、热淋涩痛
蓼大青叶		清热解毒、凉血消斑的功效，临床用于治疗温病发热、发斑发疹、肺热喘咳、喉痹、痄腮、丹毒、痈肿
蔊菜		清热、利尿、活血、通经的功效，临床用于治疗感冒、热咳、咽痛
蕤仁		养肝明目、疏风散热的功效，临床用于治疗目赤肿痛、睑眩赤烂、目暗羞明
藜		清热、利湿、杀虫的功效，临床用于治疗痢疾、腹泻、湿疮痒疹、毒虫咬伤
藜芦		涌吐风痰、清热解毒、杀虫的功效，临床用于治疗中风痰涌、风痫癫疾、黄疸等
虎掌草		清热解毒、活血舒筋的功效，临床用于治疗喉蛾、痄腮等
虎耳草		祛风、清热、凉血、解毒的功效，临床用于治疗风疹、中耳炎、丹毒等
